t,phase,ax,ay,az,gx,gy,gz
14.809,RUN,3825,1157,-911,1457,-2899,-686
14.824,RUN,3829,1791,-1001,1343,-3071,-477
14.842,RUN,3066,2119,-804,880,-3321,-84
14.856,RUN,2604,2250,-605,101,-3606,429
14.872,RUN,2479,1993,-876,-753,-3834,871
14.890,RUN,2578,1381,-938,-1317,-3472,909
14.903,RUN,2004,370,-378,-1599,-2803,851
14.919,RUN,1614,-937,703,-2196,-2075,974
14.934,RUN,1030,-2494,937,-2211,-1292,1193
14.952,RUN,868,-3066,367,-1138,-1684,1014
14.967,RUN,3965,-3672,3560,-497,-1298,328
14.982,RUN,8582,-2187,3992,697,-1135,-713
14.997,RUN,6918,1440,175,2904,-203,-1045
14.997,RUN,4287,3516,459,1998,-140,-735
15.014,RUN,4369,966,-716,469,-213,162
15.032,RUN,5428,-466,-1572,606,-607,3
15.045,RUN,7025,204,-655,1932,-691,-86
15.063,RUN,7764,2089,-1610,1398,-1002,-367
15.077,RUN,9366,4580,-1975,-840,-972,-100
15.094,RUN,7671,1589,-945,-2110,-850,306
15.117,RUN,7866,-146,142,-1859,-740,296
15.124,RUN,7851,-812,1185,-1244,-259,236
15.141,RUN,7317,-1007,2849,-605,357,-2
15.158,RUN,6589,-1712,3508,130,1275,-221
15.171,RUN,5535,-2428,4018,1322,2520,-359
15.192,RUN,4389,-2279,4145,2391,3601,-421
15.205,RUN,3331,-1217,2972,2856,4333,-446
15.219,RUN,2531,917,1206,2282,4533,-621
15.235,RUN,1864,2354,-192,948,4411,-517
15.250,RUN,1790,2482,-1366,-93,4093,-563
15.267,RUN,1651,2198,-2506,-1299,3654,-628
15.283,RUN,1060,2145,-2722,-1864,3541,-469
15.297,RUN,1088,2378,-2079,-2130,3315,-424
15.312,RUN,2481,2036,-1352,-2189,2800,-384
15.327,RUN,4357,1032,-1352,-2381,2250,99
15.342,RUN,4823,836,-1180,-2492,1926,590
15.352,RUN,3782,-416,316,-1908,1210,539
15.359,RUN,2943,-1471,1581,-512,198,504
15.374,RUN,2603,-2280,1232,701,-813,301
15.397,RUN,2320,-2181,536,1650,-1516,-358
15.408,RUN,2689,-1121,504,2069,-1795,-822
15.423,RUN,3146,710,-333,1707,-1878,-936
15.445,RUN,3978,2778,-81,800,-1979,-550
15.461,RUN,4446,3418,916,564,-2318,16
15.477,RUN,3990,1781,654,170,-2648,614
15.486,RUN,3909,301,-88,-1006,-2684,725
15.501,RUN,3773,389,-698,-1729,-2377,493
15.517,RUN,3877,582,-392,-1564,-2252,352
15.533,RUN,3586,-124,662,-1298,-2359,280
15.549,RUN,3639,-1454,1569,-1498,-2334,287
15.564,RUN,4007,-2929,1917,-1524,-2082,496
15.581,RUN,5003,-3215,2652,-986,-1762,404
15.596,RUN,6895,-2619,3062,136,-814,147
15.612,RUN,7796,-1339,4103,859,546,-34
15.627,RUN,7874,-668,5526,1011,1488,104
15.627,RUN,4913,-626,2667,1453,933,-261
15.644,RUN,858,-116,-1091,2205,-270,-369
15.659,RUN,305,1226,-1704,3464,-785,-500
15.681,RUN,1970,2420,-829,2563,-1068,-385
15.701,RUN,3654,2952,-1009,1242,-1282,-87
15.707,RUN,4601,1220,-842,-508,-1105,183
15.725,RUN,4325,187,223,-1066,-1206,314
15.738,RUN,4899,240,982,-788,-1140,303
15.757,RUN,5689,699,1226,-537,-797,284
15.770,RUN,4939,784,1246,-472,-582,408
15.785,RUN,3992,308,785,-218,-503,432
15.806,RUN,3838,-24,109,-50,-354,275
15.821,RUN,4463,-82,3,87,-126,-90
15.832,RUN,5420,182,485,379,297,-441
15.849,RUN,4860,561,148,752,460,-501
15.865,RUN,3779,455,-533,1032,319,-321
15.883,RUN,3450,848,-844,1031,110,-206
15.896,RUN,3706,1587,-995,831,-99,-284
15.912,RUN,3753,1772,-1144,365,-231,-299
15.927,RUN,3840,1424,-892,-186,-290,-132
15.934,RUN,3858,1028,-455,-490,-274,83
15.944,RUN,3921,633,-300,-543,-248,146
15.959,RUN,3811,400,-133,-424,-222,128
15.984,RUN,3998,499,-74,-221,-202,67
16.001,RUN,4137,839,43,-66,-116,-28
16.006,RUN,3917,839,31,-26,-88,-69
16.022,RUN,3946,544,23,42,-52,-32
16.039,RUN,4044,261,123,139,24,29
16.054,RUN,4181,311,162,154,80,60
16.076,RUN,4295,668,-337,203,57,79
16.086,RUN,4398,997,-797,86,106,157
16.106,RUN,4500,822,-839,-293,258,271
16.117,RUN,4827,22,-440,-613,558,389
16.133,RUN,5086,-910,48,-685,883,555
16.151,RUN,5197,-1491,448,-501,1228,791
16.165,RUN,5132,-1363,1055,-55,1606,909
16.182,RUN,5324,-917,1731,564,1992,741
16.197,RUN,4985,-307,1778,537,2443,468
16.212,RUN,4304,90,1789,517,2578,139
16.227,RUN,3133,445,813,494,2156,25
16.227,RUN,1950,698,-1008,841,1158,-81
16.245,RUN,2107,1113,-1600,1253,597,-286
16.259,RUN,2313,1481,-2080,901,54,-366
16.275,RUN,2295,742,-1287,-76,-400,-171
16.302,RUN,2438,-154,-247,-616,-630,124
16.316,RUN,2602,-583,75,-1172,-741,393
16.324,RUN,2577,-627,-157,-1500,-909,340
16.346,RUN,2654,-490,-32,-1556,-1033,127
16.362,RUN,3616,-288,635,-1744,-905,-194
16.378,RUN,5879,412,1983,-2073,-264,-487
16.387,RUN,8440,464,3666,-2813,887,-799
16.407,RUN,7834,-940,4112,-2908,1562,-472
16.422,RUN,4733,-2393,2586,-2337,1585,442
16.433,RUN,1556,-1960,530,-1558,1152,1127
16.451,RUN,1462,-1540,418,-219,1444,757
16.465,RUN,3478,-1186,1146,35,1819,13
16.481,RUN,3637,415,1327,-85,1529,-687
16.497,RUN,3255,1453,1583,270,1472,-859
16.502,RUN,3517,2020,2110,-72,1701,-438
16.513,RUN,3547,1876,1668,-541,1864,-102
16.529,RUN,3267,1410,1835,-1099,2052,423
16.545,RUN,2733,198,2761,-1648,1992,482
16.564,RUN,2258,-1291,2187,-1682,1614,342
16.577,RUN,1880,-729,2122,-245,1703,-14
16.602,RUN,2602,-812,1879,266,1755,-18
16.609,RUN,3265,-868,2055,-222,1957,-175
16.626,RUN,3042,877,1780,-263,2222,131
16.642,RUN,2869,897,2280,-592,2359,347
16.655,RUN,2648,891,2307,-393,2089,192
16.675,RUN,2949,-137,1592,-406,2132,67
16.687,RUN,3070,-809,1829,-275,2104,70
16.703,RUN,2803,-1036,2113,58,2134,245
16.718,RUN,2213,-595,2483,75,2227,456
16.734,RUN,1496,20,2936,64,2164,690
16.751,RUN,1844,154,2849,-193,2066,697
16.765,RUN,2529,-96,2868,-396,1859,446
16.782,RUN,2626,-341,3140,-146,1847,246
16.798,RUN,2853,-207,3264,-69,1833,168
16.812,RUN,2392,-230,3708,164,1787,246
16.814,RUN,2340,-40,3782,106,1613,242
16.829,RUN,2852,41,3970,-183,1504,180
16.844,RUN,2667,-124,4081,-330,1412,154
16.860,RUN,2535,-637,3873,-400,1216,179
16.877,RUN,2248,-848,4002,-547,1039,-130
16.891,RUN,2331,-1385,4243,-526,811,310
16.908,RUN,2777,-1268,4389,-368,779,292
16.923,RUN,2721,-1222,4417,-152,799,158
16.940,RUN,2495,-961,4308,-121,681,153
16.955,RUN,1858,-1121,4432,-214,375,254
16.970,RUN,1923,-1284,4269,-253,189,334
16.987,RUN,2240,-1427,4347,-248,59,355
17.006,RUN,2017,-1604,4317,-143,-50,331
17.019,RUN,1671,-738,4276,-32,-67,293
17.034,RUN,1531,-992,4372,-42,-169,334
17.049,RUN,1392,-1044,4370,3,-313,286
17.066,RUN,1823,-959,4411,210,-328,139
17.081,RUN,1832,-718,4361,260,-398,-13
17.097,RUN,1545,-517,4390,197,-506,-80
17.112,RUN,1403,-575,4184,86,-630,-89
17.113,RUN,1444,-938,4055,111,-682,-111
17.128,RUN,1577,-1006,4284,169,-674,-138
17.144,RUN,1681,-877,4240,296,-736,-168
17.161,RUN,1812,-758,4239,319,-838,-247
17.176,RUN,1962,-642,4120,396,-909,-353
17.201,RUN,1975,-519,4098,338,-1055,-400
17.207,RUN,1954,-609,3870,260,-1213,-393
17.224,RUN,2137,-780,3868,253,-1309,-394
17.240,RUN,2348,-879,3764,353,-1358,-387
17.262,RUN,2469,-964,3607,420,-1434,-353
17.273,RUN,2521,-975,3488,491,-1518,-297
17.286,RUN,2615,-877,3411,590,-1588,-244
17.303,RUN,2689,-559,3428,670,-1656,-209
17.319,RUN,2664,-149,3090,728,-1767,-209
17.335,RUN,2682,-172,2931,743,-1867,-212
17.351,RUN,2695,-89,2834,837,-1953,-223
17.365,RUN,2905,-65,2880,812,-1909,-178
17.380,RUN,3092,-128,2636,785,-1953,-158
17.396,RUN,3112,-217,2432,771,-2006,-103
17.412,RUN,3101,-249,2261,862,-2013,-25
17.413,RUN,3067,-133,2096,894,-2044,73
17.428,RUN,3105,-15,2128,823,-2000,127
17.444,RUN,2940,137,2072,648,-2057,165
17.460,RUN,2876,322,2028,669,-1998,174
17.488,RUN,2905,336,2036,617,-2004,181
17.493,RUN,2972,387,1993,646,-1975,179
17.516,RUN,2946,458,1602,623,-2058,181
17.526,RUN,3102,576,1483,642,-1948,131
17.540,RUN,3221,426,1388,483,-1962,94
17.555,RUN,3125,277,1543,380,-2022,65
17.573,RUN,3180,130,1404,515,-2089,41
17.587,RUN,3383,-35,1281,600,-2018,123
17.603,RUN,3368,-206,1200,739,-1993,279
17.618,RUN,3196,-47,1228,833,-1957,482
17.636,RUN,3402,193,1092,927,-2018,491
17.650,RUN,3486,373,723,916,-1940,386
17.666,RUN,3273,574,881,831,-1901,279
17.683,RUN,3404,647,960,803,-2061,178
17.683,RUN,3590,529,704,787,-2050,68
17.708,RUN,3130,203,646,545,-2022,117
17.715,RUN,2913,-172,692,726,-2076,284
17.739,RUN,3803,140,1061,645,-1853,345
17.745,RUN,4806,410,1170,125,-1476,445
17.764,RUN,4626,220,888,-547,-1081,519
17.777,RUN,3437,-362,209,-407,-1198,544
17.795,RUN,3474,-846,-247,266,-1257,385
17.810,RUN,4332,-1050,-249,501,-1067,258
17.832,RUN,4533,-990,-457,781,-1029,238
17.841,RUN,4313,-958,-744,981,-949,300
17.856,RUN,3900,-584,-485,1211,-804,349
17.873,RUN,3759,229,-655,1326,-767,269
17.888,RUN,4059,506,-896,753,-698,170
17.905,RUN,4766,-133,-1283,97,-530,149
17.921,RUN,4211,-1079,-1452,184,-340,131
17.936,RUN,3689,-1235,-1327,485,-222,124
17.951,RUN,3929,-755,-1359,449,-143,55
17.967,RUN,4048,-572,-1351,270,-89,-3
17.974,RUN,3900,-211,-1470,242,-25,-31
17.983,RUN,4035,-37,-1522,103,51,-67
18.004,RUN,4110,-124,-1455,-127,31,-79
18.016,RUN,3976,-671,-1420,-210,-9,-58
18.040,RUN,3781,-854,-1394,-102,26,-24
18.055,RUN,3745,-660,-1242,-90,69,-23
18.070,RUN,3992,-425,-1027,-124,137,-92
18.087,RUN,4279,-217,-875,-282,236,-177
18.096,RUN,4225,-211,-776,-450,326,-216
18.117,RUN,4132,-221,-778,-477,408,-260
18.126,RUN,3985,-138,-948,-560,503,-280
18.146,RUN,3858,-122,-1042,-793,585,-276
18.158,RUN,3937,-270,-967,-1120,719,-269
18.173,RUN,4241,-594,-512,-1282,1042,-325
18.188,RUN,4341,-897,-251,-1396,1400,-371
18.207,RUN,4534,-746,43,-1359,1670,-517
18.219,RUN,4611,-507,214,-1455,1826,-689
18.236,RUN,3542,-665,-638,-1513,1516,-532
18.251,RUN,2616,-744,-1335,-830,1233,-400
18.268,RUN,3169,-476,-870,-683,1254,-256
18.283,RUN,4143,-342,38,-994,1600,-285
18.298,RUN,5570,-284,1323,-1124,2180,-406
18.312,RUN,4996,-550,1497,-1346,2219,-234
18.327,RUN,3222,-752,922,-1384,1872,96
18.338,RUN,2671,-589,625,-240,1730,123
18.344,RUN,3126,301,720,308,2066,-133
18.360,RUN,3759,1328,981,-118,1949,-405
18.377,RUN,4009,1662,665,-993,1910,-416
18.394,RUN,3424,853,887,-1523,1488,-165
18.408,RUN,3527,245,1195,-1517,1221,-157
18.427,RUN,3838,-34,1656,-623,1261,-231
18.440,RUN,3968,240,1589,-489,1458,-277
18.461,RUN,3639,798,1483,-726,1641,-192
18.477,RUN,3473,74,1767,-1076,1858,161
18.488,RUN,3331,-1146,2009,-1300,1836,310
18.504,RUN,2770,-726,2346,-678,1647,292
18.518,RUN,2568,301,2008,-316,1691,144
18.534,RUN,2816,562,2026,-335,1580,62
18.552,RUN,3348,492,2053,-361,1584,-63
18.566,RUN,3486,443,2026,-255,1691,-44
18.582,RUN,3260,83,2196,-305,1692,176
18.598,RUN,3077,-295,1750,-682,1730,442
18.609,RUN,2653,267,2145,-479,1642,501
18.614,RUN,2179,1390,3039,-418,1505,324
18.630,RUN,2331,1233,2490,-907,1542,291
18.647,RUN,1960,542,2742,-1130,1626,161
18.663,RUN,1541,-989,3074,-1049,1626,279
18.678,RUN,1835,-1041,3309,-100,1722,486
18.695,RUN,2542,-817,2749,14,1803,539
18.709,RUN,3027,-912,2404,-38,1723,465
18.726,RUN,3277,-916,2333,265,1837,441
18.741,RUN,3283,-815,2574,247,1776,124
18.757,RUN,2772,201,2800,403,1868,380
18.774,RUN,2346,912,2914,-68,1783,351
18.788,RUN,1993,786,3466,-651,1515,490
18.804,RUN,2289,40,3403,-710,1406,289
18.820,RUN,2735,-703,3607,-660,1315,123
18.837,RUN,2749,-714,3835,-418,1378,203
18.851,RUN,2471,-1046,3979,-203,1294,161
18.868,RUN,2586,-1034,3765,-124,1227,105
18.883,RUN,2129,-837,3647,-220,1045,-36
18.898,RUN,2031,-653,3703,-434,839,41
18.909,RUN,1452,-495,3870,-737,694,142
18.914,RUN,1372,-1271,4211,-950,569,240
18.947,RUN,1665,-1762,4094,-756,417,314
18.947,RUN,1696,-2233,4299,-247,474,254
18.970,RUN,1412,-1506,4532,16,392,233
18.978,RUN,1398,-1121,4430,-126,152,218
18.996,RUN,1390,-895,4370,-151,55,171
19.013,SQUAT,1219,-1151,4418,-140,-99,248
19.025,SQUAT,1451,-1356,4435,-153,-330,101
19.042,SQUAT,1805,-1245,4580,89,-225,27
19.057,SQUAT,1627,-930,4561,176,-240,-10
19.073,SQUAT,1684,-897,4662,201,-386,-185
19.092,SQUAT,1816,-819,4654,232,-525,-414
19.104,SQUAT,1673,-709,4396,161,-676,-515
19.122,SQUAT,1707,-938,4181,69,-825,-533
19.135,SQUAT,1973,-1402,4248,72,-944,-544
19.151,SQUAT,2143,-1615,4082,246,-1023,-528
19.167,SQUAT,2323,-1608,4030,379,-1117,-492
19.183,SQUAT,2390,-1252,3890,411,-1234,-450
19.183,SQUAT,2378,-1065,3855,461,-1334,-444
19.210,SQUAT,2303,-895,3593,461,-1517,-432
19.226,SQUAT,2249,-721,3362,502,-1632,-431
19.242,SQUAT,2414,-519,3527,492,-1704,-439
19.246,SQUAT,2504,-328,3579,634,-1647,-434
19.262,SQUAT,2532,-558,3340,591,-1717,-397
19.287,SQUAT,2646,-655,3281,697,-1743,-379
19.295,SQUAT,2666,-450,3029,889,-1761,-356
19.316,SQUAT,2671,-132,2824,931,-1812,-311
19.327,SQUAT,2672,136,2640,949,-1892,-297
19.342,SQUAT,2729,249,2563,948,-1953,-301
19.358,SQUAT,2845,168,2450,903,-1940,-257
19.376,SQUAT,2908,72,2394,921,-1951,-231
19.392,SQUAT,2914,-21,2284,885,-1993,-173
19.406,SQUAT,2890,-15,2133,935,-2040,-103
19.422,SQUAT,3013,23,1858,974,-2079,-8
19.424,SQUAT,3081,259,1753,988,-2047,7
19.451,SQUAT,3144,583,1605,887,-2041,30
19.465,SQUAT,3261,577,1474,736,-2001,-10
19.480,SQUAT,3224,655,1530,615,-2023,-33
19.497,SQUAT,3177,592,1518,564,-2121,-72
19.513,SQUAT,3225,471,1238,536,-2157,-45
19.528,SQUAT,3211,403,1201,470,-2132,-68
19.543,SQUAT,3270,408,1066,605,-2029,-31
19.550,SQUAT,3312,393,1020,593,-2037,31
19.565,SQUAT,3264,300,896,682,-2027,126
19.581,SQUAT,3274,170,754,629,-2103,208
19.601,SQUAT,3417,75,789,637,-2119,179
19.612,SQUAT,3445,9,1235,642,-2061,193
19.631,SQUAT,3191,-118,1147,666,-2126,340
19.644,SQUAT,3185,-285,567,997,-1987,405
19.660,SQUAT,3674,279,671,1159,-1876,429
19.676,SQUAT,3926,772,733,913,-1683,457
19.690,SQUAT,3776,747,708,567,-1650,456
19.708,SQUAT,3627,308,607,332,-1598,350
19.722,SQUAT,3454,-395,65,287,-1610,323
19.723,SQUAT,3745,-789,-335,183,-1520,410
19.740,SQUAT,4208,-684,-163,407,-1481,587
19.762,SQUAT,4378,-321,-482,550,-1297,474
19.782,SQUAT,4557,153,-464,543,-1042,318
19.797,SQUAT,4962,205,-193,157,-785,179
19.811,SQUAT,4952,-138,-51,-76,-486,38
19.828,SQUAT,4254,-636,-535,96,-438,34
19.835,SQUAT,3769,-973,-1065,607,-338,26
19.849,SQUAT,3595,-638,-1329,748,-264,72
19.872,SQUAT,3614,-13,-1188,498,-284,191
19.886,SQUAT,4484,332,-1167,159,-235,8
19.897,SQUAT,4241,61,-1012,-206,-181,-50
19.913,SQUAT,4154,-468,-947,-323,-131,-48
19.933,SQUAT,4059,-1015,-1021,-147,-62,-41
19.945,SQUAT,3956,-937,-1159,154,-17,-42
19.962,SQUAT,3879,-454,-1425,305,26,-80
19.977,SQUAT,3868,-157,-1625,179,29,-113
19.992,SQUAT,3928,-98,-1466,-16,18,-141
20.007,SQUAT,4053,-145,-1290,-88,21,-163
20.022,SQUAT,4091,-284,-1108,-137,61,-158
20.035,SQUAT,4073,-361,-987,-126,137,-130
20.040,SQUAT,4030,-225,-994,-45,223,-128
20.055,SQUAT,3826,-45,-1190,-130,296,-146
20.075,SQUAT,3958,282,-1049,-228,343,-256
20.102,SQUAT,3813,157,-1251,-558,308,-216
20.112,SQUAT,3957,-29,-1202,-739,363,-201
20.119,SQUAT,4012,-335,-1019,-853,440,-151
20.135,SQUAT,4200,-611,-808,-890,537,-115
20.150,SQUAT,4503,-605,-476,-761,673,-141
20.166,SQUAT,4535,-448,-289,-591,816,-250
20.181,SQUAT,4157,-481,-398,-307,887,-321
20.198,SQUAT,3935,-351,-372,-37,885,-328
20.214,SQUAT,3862,-120,-328,32,835,-336
20.231,SQUAT,3813,-17,-450,79,820,-295
20.246,SQUAT,3860,-17,-322,56,876,-227
20.261,SQUAT,3935,120,30,-21,867,-210
20.276,SQUAT,4572,560,248,-155,921,-298
20.292,SQUAT,4348,583,88,-527,1164,-318
20.308,SQUAT,3659,352,-1,-936,1129,-186
20.316,SQUAT,3261,465,158,-1280,1020,-16
20.329,SQUAT,3277,625,539,-1540,1200,161
20.339,SQUAT,3722,447,1109,-1924,1558,330
20.363,SQUAT,4425,241,1733,-2336,1845,486
20.376,SQUAT,4665,254,2247,-2279,1761,398
20.395,SQUAT,3287,-147,791,-1736,1367,286
20.412,SQUAT,2656,-1135,108,-609,1464,289
20.436,SQUAT,3209,-919,1248,-10,1864,291
20.436,SQUAT,3819,-3,1879,40,2298,235
20.457,SQUAT,3783,521,1409,77,2639,408
20.472,SQUAT,3367,723,1510,25,2570,293
20.486,SQUAT,3053,501,2600,247,2534,116
20.503,SQUAT,2598,725,1763,791,2438,-67
20.514,SQUAT,2417,1417,958,754,2720,129
20.531,SQUAT,2790,1774,795,-300,2672,123
20.547,SQUAT,2656,1076,1802,-1246,2512,42
20.563,SQUAT,2560,194,1105,-1770,2409,198
20.577,SQUAT,2064,701,2284,-372,2625,114
20.592,SQUAT,2163,286,2568,-659,2218,68
20.606,SQUAT,2607,329,1930,-602,2197,43
20.613,SQUAT,2476,5,2187,-883,2337,56
20.637,SQUAT,2424,-354,2653,-768,2233,197
20.642,SQUAT,2967,-949,2109,-608,2222,398
20.668,SQUAT,3161,-1182,2361,-355,2099,490
20.674,SQUAT,3301,-1064,2611,-209,2164,528
20.687,SQUAT,3361,-592,2724,-322,2088,506
20.713,SQUAT,2906,-379,3263,-355,1990,528
20.724,SQUAT,2600,-128,3271,-454,1842,555
20.735,SQUAT,2845,-227,3709,-670,1671,555
20.755,SQUAT,3012,-630,3671,-692,1618,328
20.773,SQUAT,2692,-1076,3815,-596,1456,357
20.785,SQUAT,2665,-1614,4181,-341,1320,422
20.799,SQUAT,2684,-1502,4019,-109,1191,70
20.815,SQUAT,2373,-667,4341,-244,995,222
20.831,SQUAT,2112,-226,4348,-424,863,221
20.847,SQUAT,2105,37,4269,-519,717,316
20.847,SQUAT,2340,-646,4380,-521,628,184
20.864,SQUAT,2196,-1131,4495,-298,536,70
20.879,SQUAT,2094,-1382,4662,-156,394,-20
20.901,SQUAT,1705,-1433,4588,-53,224,-50
20.913,SQUAT,1542,-1641,4497,-16,31,-41
20.927,SQUAT,1603,-1581,4474,132,-31,-44
20.949,SQUAT,1567,-1405,4548,132,-180,-38
20.959,SQUAT,1572,-1344,4581,170,-369,-65
20.977,SQUAT,1710,-1130,4589,269,-468,-158
20.991,SQUAT,1679,-812,4523,300,-599,-245
21.007,SQUAT,1559,-828,4390,242,-793,-272
21.025,SQUAT,1626,-1009,4286,257,-943,-293
21.039,SQUAT,1772,-1169,4111,318,-1058,-321
21.055,SQUAT,1908,-1131,4023,450,-1101,-339
21.071,SQUAT,1979,-1052,3924,587,-1167,-345
21.087,SQUAT,2095,-884,3866,654,-1247,-361
21.088,SQUAT,2150,-709,3873,689,-1331,-350
21.114,SQUAT,2167,-451,3679,789,-1397,-327
21.132,SQUAT,2196,-260,3533,773,-1507,-325
21.134,SQUAT,2321,-217,3579,802,-1576,-355
21.161,SQUAT,2457,-129,3471,833,-1668,-363
21.166,SQUAT,2699,-162,3232,831,-1671,-380
21.184,SQUAT,2810,-269,3143,878,-1703,-358
21.208,SQUAT,2878,-144,2921,960,-1726,-325
21.222,SQUAT,2826,42,2792,979,-1820,-269
21.232,SQUAT,2762,142,2505,953,-1921,-189
21.246,SQUAT,2826,190,2547,940,-1991,-164
21.262,SQUAT,3093,136,2418,795,-2078,-161
21.281,SQUAT,3343,67,2457,738,-2112,-165
21.293,SQUAT,3471,101,2139,770,-2136,-107
21.313,SQUAT,3441,83,1760,795,-2145,-11
21.328,SQUAT,3345,125,1701,791,-2139,73
21.342,SQUAT,3176,309,1416,793,-2204,125
21.357,SQUAT,3143,511,1425,754,-2144,143
21.372,SQUAT,3107,711,1442,639,-2209,108
21.388,SQUAT,3111,741,1319,589,-2242,38
21.397,SQUAT,3126,799,1062,612,-2289,-26
21.414,SQUAT,3276,664,932,378,-2241,-17
21.432,SQUAT,3299,496,1231,399,-2236,18
21.446,SQUAT,2946,172,923,547,-2363,147
21.460,SQUAT,2965,362,754,750,-2204,178
21.477,SQUAT,3107,568,780,653,-2169,126
21.484,SQUAT,3109,471,924,718,-2113,152
21.508,SQUAT,3256,266,1169,705,-2168,269
21.514,SQUAT,3408,65,1003,524,-2116,397
21.530,SQUAT,3402,132,969,239,-1977,483
21.545,SQUAT,3077,188,682,682,-2091,330
21.563,SQUAT,3351,415,256,815,-2113,111
21.581,SQUAT,3797,670,315,515,-1908,33
21.596,SQUAT,4034,439,183,-27,-1817,108
21.611,SQUAT,4430,-331,255,-403,-1686,240
21.625,SQUAT,4534,-1237,343,-432,-1413,481
21.642,SQUAT,5183,-805,790,179,-877,359
21.657,SQUAT,5080,-50,556,480,-414,235
21.673,SQUAT,4690,468,238,472,-130,19
21.675,SQUAT,4092,213,-157,393,-41,-142
21.703,SQUAT,3886,-258,-664,689,-51,-287
21.715,SQUAT,3609,-390,-1155,976,-38,-173
21.721,SQUAT,3449,-96,-1263,775,-14,102
21.736,SQUAT,4591,623,-1234,521,-27,94
21.753,SQUAT,4140,531,-1215,32,14,32
21.778,SQUAT,3902,69,-1017,-423,-86,-7
21.791,SQUAT,4044,-529,-778,-395,-46,-54
21.800,SQUAT,4025,-658,-626,52,20,-95
21.822,SQUAT,3966,-424,-797,445,67,-86
21.833,SQUAT,4043,-85,-929,399,77,-75
21.848,SQUAT,4043,323,-921,246,92,-106
21.867,SQUAT,4014,441,-954,62,80,-121
21.882,SQUAT,4072,257,-941,-78,54,-118
21.897,SQUAT,4151,-34,-704,-188,77,-98
21.912,SQUAT,3968,-255,-541,-53,86,-76
21.928,SQUAT,3873,-284,-555,182,88,-53
21.949,SQUAT,3983,7,-597,217,100,-28
21.949,SQUAT,4049,362,-628,109,95,-47
21.959,SQUAT,3990,644,-586,-24,106,-86
21.988,SQUAT,4053,797,-520,-127,121,-149
22.002,SQUAT,4073,456,-585,-322,126,-170
22.016,SQUAT,3960,-50,-451,-413,50,-146
22.032,SQUAT,3877,-394,-471,-97,-31,-94
22.047,SQUAT,3972,-164,-593,89,-20,-28
22.056,SQUAT,4044,309,-474,33,24,-27
22.070,SQUAT,4024,657,-427,-173,29,-68
22.085,SQUAT,4048,698,-393,-429,60,-75
22.108,SQUAT,4165,506,-232,-634,93,-84
22.118,SQUAT,4038,129,-375,-546,45,-78
22.137,SQUAT,3798,-102,-546,-288,29,-44
22.151,SQUAT,3937,142,-467,-194,49,-38
22.165,SQUAT,4044,363,-395,-295,84,-38
22.180,SQUAT,4133,618,-340,-313,118,-105
22.196,SQUAT,4092,744,-333,-425,191,-122
22.212,SQUAT,4055,767,-366,-621,237,-99
22.226,SQUAT,4210,655,-510,-767,279,-86
22.229,SQUAT,4055,202,-653,-897,324,-29
22.244,SQUAT,4037,-170,-538,-895,401,4
22.272,SQUAT,4207,-461,-401,-771,533,11
22.277,SQUAT,4405,-568,-182,-534,750,-31
22.291,SQUAT,4561,-336,73,-356,785,-146
22.316,SQUAT,3859,47,-225,-230,675,-215
22.324,SQUAT,3532,543,-381,7,571,-254
22.339,SQUAT,3713,767,-475,-216,586,-239
22.357,SQUAT,4125,589,-203,-496,720,-122
22.377,SQUAT,4826,303,186,-726,1111,17
22.392,SQUAT,4541,13,395,-953,1379,171
22.403,SQUAT,3563,-387,499,-878,1408,167
22.419,SQUAT,3207,-159,844,-604,1345,22
22.437,SQUAT,3696,675,1435,-451,1306,-201
22.453,SQUAT,3774,1053,1267,-962,1309,-130
22.467,SQUAT,3847,655,1563,-843,1522,-25
22.482,SQUAT,4169,263,1527,-580,2018,61
22.489,SQUAT,3523,-302,1321,-601,1860,177
22.499,SQUAT,3024,159,1619,-234,1611,143
22.516,SQUAT,2936,277,807,152,1605,-19
22.543,SQUAT,3695,893,612,323,1787,-100
22.548,SQUAT,4274,1345,660,-194,2037,-201
22.582,SQUAT,3978,919,591,-445,2316,11
22.582,SQUAT,3435,121,1009,-672,2198,309
22.593,SQUAT,3005,-317,1923,-657,2137,370
22.616,SQUAT,2895,-522,1947,-267,2245,525
22.625,SQUAT,2270,695,1961,-79,1987,394
22.648,SQUAT,2253,1228,2126,-304,1811,179
22.663,SQUAT,2811,1109,2076,-257,2035,93
22.673,SQUAT,2650,1370,1432,-42,2210,287
22.691,SQUAT,2553,566,2043,-748,2202,433
22.703,SQUAT,2800,-262,2468,-927,2099,506
22.719,SQUAT,2613,307,2011,-401,2002,389
22.738,SQUAT,2914,864,2137,-515,1979,314
22.750,SQUAT,3333,1193,2034,-944,1958,99
22.768,SQUAT,3109,660,2160,-1390,1981,106
22.782,SQUAT,2062,-555,3016,-1416,2040,327
22.797,SQUAT,1140,-1619,2864,-971,1985,596
22.811,SQUAT,1584,-1250,3088,-625,1830,790
22.827,SQUAT,2627,-395,2844,-477,1835,664
22.835,SQUAT,2805,-258,3003,-721,1717,611
22.858,SQUAT,2437,-236,3341,-431,1781,548
22.895,SQUAT,2248,-866,3432,-524,1656,322
22.895,SQUAT,2046,-421,3937,-449,1643,504
